areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-08-23,2215,19808426,1635,18583010,580,1225416
nation,England,E92000001,2022-08-22,3880,19806211,2862,18581375,1018,1224836
nation,England,E92000001,2022-08-21,3400,19802331,2508,18578513,892,1223818
nation,England,E92000001,2022-08-20,2667,19798931,2036,18576005,631,1222926
nation,England,E92000001,2022-08-19,3141,19796264,2350,18573969,791,1222295
nation,England,E92000001,2022-08-18,3731,19793123,2763,18571619,968,1221504
nation,England,E92000001,2022-08-17,4330,19789392,3224,18568856,1106,1220536
nation,England,E92000001,2022-08-16,4805,19785062,3590,18565632,1215,1219430
nation,England,E92000001,2022-08-15,5580,19780257,4161,18562042,1419,1218215
nation,England,E92000001,2022-08-14,4772,19774677,3614,18557881,1158,1216796
nation,England,E92000001,2022-08-13,3959,19769905,3038,18554267,921,1215638
nation,England,E92000001,2022-08-12,4763,19765946,3637,18551229,1126,1214717
nation,England,E92000001,2022-08-11,5426,19761183,4067,18547592,1359,1213591
nation,England,E92000001,2022-08-10,5975,19755757,4485,18543525,1490,1212232
nation,England,E92000001,2022-08-09,6422,19749782,4888,18539040,1534,1210742
nation,England,E92000001,2022-08-08,7174,19743360,5269,18534152,1905,1209208
nation,England,E92000001,2022-08-07,5882,19736186,4480,18528883,1402,1207303
nation,England,E92000001,2022-08-06,4843,19730304,3753,18524403,1090,1205901
nation,England,E92000001,2022-08-05,5842,19725461,4479,18520650,1363,1204811
nation,England,E92000001,2022-08-04,6505,19719619,4958,18516171,1547,1203448
nation,England,E92000001,2022-08-03,7404,19713114,5714,18511213,1690,1201901
nation,England,E92000001,2022-08-02,8152,19705710,6165,18505499,1987,1200211
nation,England,E92000001,2022-08-01,8796,19697558,6632,18499334,2164,1198224
nation,England,E92000001,2022-07-31,7663,19688762,5881,18492702,1782,1196060
nation,England,E92000001,2022-07-30,6607,19681099,5140,18486821,1467,1194278
nation,England,E92000001,2022-07-29,7575,19674492,5843,18481681,1732,1192811
nation,England,E92000001,2022-07-28,8315,19666917,6327,18475838,1988,1191079
nation,England,E92000001,2022-07-27,9421,19658602,7178,18469511,2243,1189091
nation,England,E92000001,2022-07-26,10475,19649181,8047,18462333,2428,1186848
nation,England,E92000001,2022-07-25,11921,19638706,9129,18454286,2792,1184420
nation,England,E92000001,2022-07-24,10212,19626785,7836,18445157,2376,1181628
nation,England,E92000001,2022-07-23,8900,19616573,6969,18437321,1931,1179252
nation,England,E92000001,2022-07-22,11172,19607673,8652,18430352,2520,1177321
nation,England,E92000001,2022-07-21,12784,19596501,9865,18421700,2919,1174801
nation,England,E92000001,2022-07-20,14531,19583717,11288,18411835,3243,1171882
nation,England,E92000001,2022-07-19,14860,19569186,11342,18400547,3518,1168639
nation,England,E92000001,2022-07-18,16909,19554326,12787,18389205,4122,1165121
nation,England,E92000001,2022-07-17,15702,19537417,12070,18376418,3632,1160999
nation,England,E92000001,2022-07-16,13670,19521715,10673,18364348,2997,1157367
nation,England,E92000001,2022-07-15,16621,19508045,12837,18353675,3784,1154370
nation,England,E92000001,2022-07-14,19330,19491424,14741,18340838,4589,1150586
nation,England,E92000001,2022-07-13,21633,19472094,16636,18326097,4997,1145997
nation,England,E92000001,2022-07-12,24369,19450461,18598,18309461,5771,1141000
nation,England,E92000001,2022-07-11,27195,19426092,20616,18290863,6579,1135229
nation,England,E92000001,2022-07-10,23037,19398897,17799,18270247,5238,1128650
nation,England,E92000001,2022-07-09,19349,19375860,15265,18252448,4084,1123412
nation,England,E92000001,2022-07-08,22163,19356511,17497,18237183,4666,1119328
nation,England,E92000001,2022-07-07,24044,19334348,18594,18219686,5450,1114662
nation,England,E92000001,2022-07-06,26721,19310304,20634,18201092,6087,1109212
nation,England,E92000001,2022-07-05,28112,19283583,21779,18180458,6333,1103125
nation,England,E92000001,2022-07-04,30372,19255471,23321,18158679,7051,1096792
nation,England,E92000001,2022-07-03,25168,19225099,19473,18135358,5695,1089741
nation,England,E92000001,2022-07-02,19585,19199931,15544,18115885,4041,1084046
nation,England,E92000001,2022-07-01,21056,19180346,16741,18100341,4315,1080005
nation,England,E92000001,2022-06-30,21498,19159290,16821,18083600,4677,1075690
nation,England,E92000001,2022-06-29,21716,19137792,17052,18066779,4664,1071013
nation,England,E92000001,2022-06-28,21864,19116076,17355,18049727,4509,1066349
nation,England,E92000001,2022-06-27,21892,19094212,17271,18032372,4621,1061840
nation,England,E92000001,2022-06-26,18036,19072320,14408,18015101,3628,1057219
nation,England,E92000001,2022-06-25,14468,19054284,11837,18000693,2631,1053591
nation,England,E92000001,2022-06-24,15621,19039816,12675,17988856,2946,1050960
nation,England,E92000001,2022-06-23,16691,19024195,13489,17976181,3202,1048014
nation,England,E92000001,2022-06-22,17759,19007504,14456,17962692,3303,1044812
nation,England,E92000001,2022-06-21,17528,18989745,14192,17948236,3336,1041509
nation,England,E92000001,2022-06-20,16918,18972217,13610,17934044,3308,1038173
nation,England,E92000001,2022-06-19,14515,18955299,11851,17920434,2664,1034865
nation,England,E92000001,2022-06-18,11636,18940784,9652,17908583,1984,1032201
nation,England,E92000001,2022-06-17,11637,18929148,9629,17898931,2008,1030217
