areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,2022-08-22,16,164168
nation,England,E92000001,2022-08-21,51,164152
nation,England,E92000001,2022-08-20,47,164101
nation,England,E92000001,2022-08-19,53,164054
nation,England,E92000001,2022-08-18,71,164001
nation,England,E92000001,2022-08-17,73,163930
nation,England,E92000001,2022-08-16,86,163857
nation,England,E92000001,2022-08-15,114,163771
nation,England,E92000001,2022-08-14,100,163657
nation,England,E92000001,2022-08-13,123,163557
nation,England,E92000001,2022-08-12,125,163434
nation,England,E92000001,2022-08-11,133,163309
nation,England,E92000001,2022-08-10,115,163176
nation,England,E92000001,2022-08-09,123,163061
nation,England,E92000001,2022-08-08,128,162938
nation,England,E92000001,2022-08-07,127,162810
nation,England,E92000001,2022-08-06,113,162683
nation,England,E92000001,2022-08-05,121,162570
nation,England,E92000001,2022-08-04,117,162449
nation,England,E92000001,2022-08-03,151,162332
nation,England,E92000001,2022-08-02,147,162181
nation,England,E92000001,2022-08-01,151,162034
nation,England,E92000001,2022-07-31,139,161883
nation,England,E92000001,2022-07-30,128,161744
nation,England,E92000001,2022-07-29,173,161616
nation,England,E92000001,2022-07-28,169,161443
nation,England,E92000001,2022-07-27,143,161274
nation,England,E92000001,2022-07-26,140,161131
nation,England,E92000001,2022-07-25,146,160991
nation,England,E92000001,2022-07-24,177,160845
nation,England,E92000001,2022-07-23,156,160668
nation,England,E92000001,2022-07-22,148,160512
nation,England,E92000001,2022-07-21,150,160364
nation,England,E92000001,2022-07-20,210,160214
nation,England,E92000001,2022-07-19,300,160004
nation,England,E92000001,2022-07-18,161,159704
nation,England,E92000001,2022-07-17,192,159543
nation,England,E92000001,2022-07-16,159,159351
nation,England,E92000001,2022-07-15,141,159192
nation,England,E92000001,2022-07-14,140,159051
nation,England,E92000001,2022-07-13,159,158911
nation,England,E92000001,2022-07-12,163,158752
nation,England,E92000001,2022-07-11,149,158589
nation,England,E92000001,2022-07-10,152,158440
nation,England,E92000001,2022-07-09,144,158288
nation,England,E92000001,2022-07-08,131,158144
nation,England,E92000001,2022-07-07,118,158013
nation,England,E92000001,2022-07-06,131,157895
nation,England,E92000001,2022-07-05,113,157764
nation,England,E92000001,2022-07-04,116,157651
nation,England,E92000001,2022-07-03,97,157535
nation,England,E92000001,2022-07-02,105,157438
nation,England,E92000001,2022-07-01,93,157333
nation,England,E92000001,2022-06-30,83,157240
nation,England,E92000001,2022-06-29,85,157157
nation,England,E92000001,2022-06-28,68,157072
nation,England,E92000001,2022-06-27,73,157004
nation,England,E92000001,2022-06-26,66,156931
nation,England,E92000001,2022-06-25,71,156865
nation,England,E92000001,2022-06-24,55,156794
nation,England,E92000001,2022-06-23,71,156739
nation,England,E92000001,2022-06-22,65,156668
nation,England,E92000001,2022-06-21,56,156603
nation,England,E92000001,2022-06-20,59,156547
nation,England,E92000001,2022-06-19,59,156488
nation,England,E92000001,2022-06-18,50,156429
nation,England,E92000001,2022-06-17,51,156379
nation,England,E92000001,2022-06-16,57,156328
nation,England,E92000001,2022-06-15,46,156271
nation,England,E92000001,2022-06-14,36,156225
nation,England,E92000001,2022-06-13,37,156189
nation,England,E92000001,2022-06-12,31,156152
nation,England,E92000001,2022-06-11,43,156121
nation,England,E92000001,2022-06-10,54,156078
nation,England,E92000001,2022-06-09,36,156024
nation,England,E92000001,2022-06-08,42,155988
nation,England,E92000001,2022-06-07,39,155946
nation,England,E92000001,2022-06-06,51,155907
nation,England,E92000001,2022-06-05,45,155856
nation,England,E92000001,2022-06-04,49,155811
nation,England,E92000001,2022-06-03,34,155762
nation,England,E92000001,2022-06-02,47,155728
nation,England,E92000001,2022-06-01,39,155681
nation,England,E92000001,2022-05-31,57,155642
nation,England,E92000001,2022-05-30,59,155585
nation,England,E92000001,2022-05-29,37,155526
nation,England,E92000001,2022-05-28,52,155489
nation,England,E92000001,2022-05-27,54,155437
nation,England,E92000001,2022-05-26,62,155383
nation,England,E92000001,2022-05-25,44,155321
nation,England,E92000001,2022-05-24,46,155277
