date,event,show,slide
9 Jan 2020,c19,,1
29 Jan 2020,c19,,1
31 Jan 2020,c19,y,1
02 Mar 2020,c19,,2
11 Mar 2020,c19,,2
13 Mar 2020,os,y,2
17 Mar 2020,os,,3
18 Mar 2020,os,y,3
20 Mar 2020,os,,4
23 Mar 2020,os,,4
26 Mar 2020,c19,,4
30 Mar 2020,os,y,4
14 April 2020,os,,5
30 April 2020,os,y,5
7 May 2020,os,y,6
16 Jun 2020,os,,7
8 Jul 2020,pub,,7
16 Oct 2020,os,y,7
5 Nov 2020,c19,,8
5 Nov 2020,pub,,
2 Dec 2020,c19,,8
8 Dec 2020,c19,y,8
11 Dec 2020,pub,,
21 Jan 2021,os,y,9
21 Jan 2021,pub,,
19 Feb 2021,os,y,10
18 Mar 2021,pub,,
9 Apr 2021,os,,10
27 Apr 2021,pub,,
14 May 2021,pub,,
15 Jul 2021,pub,,
17 Jul 2021,os,y,10
19 Oct 2021,pub,,11
28 Oct 2021,pub,,11
16 Nov 2021,pub,,11
31 Dec 2021,pub,y,11
8 Jan 2022,pub,,12
25 Jan 2022,pub,,12
2 Feb 2022,os,,12
7 Feb 2022,os,,12
24 Feb 2022,pub,,12
1 Mar 2022,pub,,12
5 April 2022,os,,12
7 April 2022,os,,12
21 April 2022,os,,12
20 May 2022,pub,,12
8 June 2022,pub,,12
11 June 2022,pub,,12
21 June 2022,pub,,12
28 June 2022,pub,,12
30 June 2022,pub,,12
1 July 2022,c19,,12
1 July 2022,pub,,12
18 July 2022,pub,,12
30 Jul 2022,pub,y,12
18 Sep 2022,os
